item_id,order_id,product_id,quantity,unit_price,line_discount_pct,line_total
663815,589717,353492,1,128.91,,128.91
644034,535553,344375,2,558.29,,1116.58
619632,556280,320006,2,184.04,,368.08
612144,553430,335720,5,275.57,,1377.85
601964,534849,349925,1,400.2,,400.2
669586,509831,356606,1,24.01,,24.01
623792,507732,309807,3,11.27,,33.81
613509,577333,376931,1,118.51,5,112.58
677303,594776,391655,2,201.87,,403.74
613521,577579,313154,2,216.7,,433.4
637011,519654,312656,1,164.15,,164.15
628140,537947,398848,1,255.79,5,243.0
689009,593517,338680,1,125.39,,125.39
671656,560920,358138,1,594.46,,594.46
684031,571952,347953,4,428.4,,1713.6
602558,595933,390964,1,277.77,15,236.1
622962,535901,314996,1,13.39,5,12.72
603310,542186,369942,1,593.91,,593.91
669687,554240,313022,1,158.53,,158.53
680659,506862,316199,4,512.81,5,1948.68
654167,571891,307355,1,495.08,10,445.57
663196,553528,377182,2,515.45,,1030.9
614926,598183,389705,3,434.09,5,1237.16
680928,525963,324727,2,209.98,10,377.96
612605,532442,376858,3,6.96,,20.88
695881,549604,335720,3,275.57,15,702.7
677498,574117,312217,2,208.32,,416.64
699955,542186,344548,1,301.46,5,286.39
613904,598491,319442,1,163.63,5,155.45
653436,519567,331186,1,417.42,,417.42
606500,586140,390476,1,207.36,,207.36
677373,559301,383746,3,129.57,,388.71
615202,585420,337700,1,362.67,,362.67
617721,589366,335720,2,275.57,0,551.14
650849,554720,379482,1,403.79,,403.79
673021,534773,340963,1,14.67,,14.67
675366,581577,364569,2,350.7,,701.4
657374,542111,336666,2,116.48,,232.96
644478,584948,395236,1,197.07,,197.07
631549,595983,378269,3,293.52,,880.56
676270,585878,331566,4,531.86,15,1808.32
696036,503296,347453,1,363.88,,363.88
688455,505339,358529,1,403.54,,403.54
642502,533656,359459,1,312.09,,312.09
628498,521260,383283,1,261.99,,261.99
617242,537892,305683,2,328.5,,657.0
622229,524578,392435,5,231.48,,1157.4
663368,533330,312656,4,164.15,,656.6
603288,548186,382578,3,264.54,10,714.26
695438,504376,317781,1,520.93,,520.93
672083,504528,327801,1,310.02,,310.02
656794,533566,320006,3,184.04,,552.12
645155,571264,357898,2,505.17,,1010.34
666379,549857,370592,1,289.07,15,245.71
622382,509653,386646,1,48.74,10,43.87
661290,577814,317054,5,255.91,,1279.55
610624,549498,317927,2,294.87,,589.74
694837,545935,393032,2,363.42,,726.84
627428,514416,372641,1,326.67,15,277.67
693679,552597,352089,5,251.31,,1256.55
631037,517111,310350,2,273.51,,547.02
654241,537108,320232,1,422.46,,422.46
663119,573068,356370,3,556.1,,1668.3
656470,595913,304852,4,183.47,15,623.8
676793,526471,394924,1,175.47,10,157.92
647747,518435,306629,1,288.37,5,273.95
616378,559327,314150,1,570.32,,570.32
677462,517758,303783,1,459.67,,459.67
639425,576682,316199,2,512.81,5,974.34
680911,579128,310589,4,161.71,10,582.16
616090,518396,363156,2,421.98,,843.96
675177,584849,317927,2,294.87,,589.74
673880,534040,348147,1,476.49,,476.49
681793,526823,372255,3,442.72,5,1261.75
655073,584689,364923,5,317.0,,1585.0
691014,533944,397218,2,254.97,,509.94
638674,553835,377812,1,360.76,0,360.76
683636,516397,303794,1,67.86,0,67.86
668379,522121,388835,2,405.6,,811.2
616023,536674,311846,2,584.71,,1169.42
680358,561961,316011,1,516.78,,516.78
615473,526220,387404,1,276.58,10,248.92
683100,550834,372264,3,426.52,5,1215.58
641560,577165,320706,2,484.22,,968.44
679007,554245,364569,2,350.7,,701.4
664521,558036,353476,4,189.19,,756.76
665258,544142,359609,2,18.16,,36.32
667338,527520,386499,3,574.61,15,1465.26
610620,553354,317054,1,255.91,,255.91
694962,571890,362781,2,336.48,,672.96
633104,527351,320181,3,475.86,,1427.58
651892,526216,315915,3,173.52,,520.56
648822,559806,327801,2,310.02,,620.04
698603,506763,397218,1,254.97,,254.97
673097,576756,326896,1,397.97,,397.97
680864,550104,339132,3,580.4,,1741.2
659915,507990,301947,2,171.1,,342.2
699854,579692,330647,1,34.2,,34.2
627401,574407,397973,1,474.78,,474.78
659717,550457,394481,1,8.18,15,6.95
647080,525311,306868,1,374.46,,374.46
605988,568235,330162,1,171.06,,171.06
660065,553272,387177,3,455.62,,1366.86
602571,518554,356881,2,369.31,,738.62
600523,548780,382155,2,422.34,,844.68
663178,537683,326896,2,397.97,,795.94
692312,591235,392260,3,496.46,,1489.38
668376,576439,339535,4,455.6,,1822.4
622744,568848,331566,1,531.86,,531.86
668140,556234,359609,2,18.16,,36.32
614872,543976,316614,1,71.64,,71.64
677210,510173,384518,3,359.65,,1078.95
695375,522085,338254,1,316.46,,316.46
665238,532092,322280,1,493.88,,493.88
643592,511740,397404,4,425.19,,1700.76
678808,560630,317038,2,316.23,10,569.21
676513,501762,321567,1,488.81,15,415.49
617062,582593,388125,2,314.94,,629.88
683156,544262,390476,3,207.36,,622.08
624935,506640,312978,2,386.16,,772.32
695675,554947,308285,1,317.0,,317.0
601741,569070,386499,1,574.61,,574.61
632792,585709,334782,1,304.61,,304.61
654115,503603,316021,1,314.19,,314.19
645046,519124,332007,2,561.44,,1122.88
697531,580449,393926,1,360.05,15,306.04
669774,565019,347953,2,428.4,,856.8
666203,599615,376724,1,516.8,,516.8
656371,532758,381691,2,240.36,15,408.61
628508,576704,386400,4,330.77,,1323.08
675502,558278,315095,4,317.8,,1271.2
632416,551673,313069,2,116.49,,232.98
611850,549959,356450,2,209.69,,419.38
623738,504868,344375,1,558.29,,558.29
640055,562215,365836,3,554.86,,1664.58
670842,577859,307972,1,588.86,15,500.53
658476,589996,333466,4,475.93,0,1903.72
686876,575028,383066,1,150.5,,150.5
603550,599677,347537,1,488.64,,488.64
693901,565601,304705,5,400.37,,2001.85
681523,510464,397605,2,124.52,,249.04
661777,545848,353841,1,183.79,0,183.79
696689,501632,340966,2,283.58,,567.16
623898,517042,348147,2,476.49,0,952.98
604604,521174,310527,2,192.17,,384.34
652693,561823,335018,2,35.43,,70.86
668892,578206,373048,1,562.38,10,506.14
670005,528192,399536,4,439.89,,1759.56
697756,518715,331365,3,468.57,10,1265.14
608231,501353,374963,3,589.02,,1767.06
687813,548558,303794,2,67.86,,135.72
638754,512889,351879,2,68.63,,137.26
660734,560775,390480,1,190.68,,190.68
678687,561586,330539,1,294.46,,294.46
666369,576648,336342,2,167.96,,335.92
637951,546626,359459,1,312.09,15,265.28
624808,516877,342219,2,212.57,,425.14
614312,522111,388647,3,123.37,,370.11
685694,574407,338684,1,568.53,,568.53
623446,539522,318958,3,85.75,,257.25
652023,551790,302011,2,277.42,,554.84
638222,502832,364139,1,371.51,,371.51
663045,572152,391289,1,547.78,,547.78
632445,550384,306629,1,288.37,,288.37
672967,591467,320006,1,184.04,,184.04
688254,534011,334782,1,304.61,,304.61
657174,534508,394203,1,49.92,,49.92
668603,500824,344548,1,301.46,,301.46
667276,523189,358115,2,575.18,15,977.81
600743,539473,318958,2,85.75,15,145.78
673524,582688,317892,2,53.32,,106.64
613572,519233,316011,2,516.78,,1033.56
616479,559347,317224,2,581.69,,1163.38
653584,548471,314293,5,335.7,,1678.5
697866,561268,301824,4,316.36,,1265.44
688508,579295,305943,2,152.19,,304.38
611732,536471,334782,1,304.61,,304.61
668078,513513,341505,1,105.17,,105.17
687617,585863,330947,1,535.3,,535.3
600449,518127,364139,3,371.51,15,947.35
660319,532072,363956,2,348.86,,697.72
674061,518305,376983,2,93.2,,186.4
604865,580565,382978,1,512.39,,512.39
605961,540470,307936,2,121.41,,242.82
657798,587962,365107,2,574.23,0,1148.46
658013,534883,344396,1,539.37,,539.37
639129,510878,377356,3,557.67,,1673.01
667963,516758,364569,1,350.7,,350.7
645712,585322,389705,1,434.09,,434.09
613893,597981,353516,1,316.33,,316.33
685342,594634,334663,1,479.78,,479.78
604116,537143,317275,2,364.15,,728.3
610044,506281,356387,2,53.92,0,107.84
659372,582208,344396,2,539.37,15,916.93
689046,555695,384889,1,232.01,,232.01
642038,527295,340492,3,442.86,,1328.58
614063,524486,328477,3,385.11,,1155.33
656942,588539,391521,3,132.99,,398.97
659853,504876,354460,3,8.24,15,21.01
650249,508597,396835,4,426.35,,1705.4
686194,534321,370701,2,285.63,,571.26
671893,514746,311188,2,478.59,,957.18
