order_id,customer_id,order_date,status,payment_method,shipping_method,shipping_cost,discount_pct,coupon_code,shipping_date,delivery_date,is_gift
559413,469065,2021-10-30,delivered,apple_pay,economy,4.99,,,2021-11-03,2021-11-05,False
515212,490756,2021-01-02,delivered,credit_card,standard,9.99,,,2021-01-07,2021-01-17,False
569319,488172,2023-07-27,delivered,credit_card,click_and_collect,9.99,10,,2023-07-31,2023-08-05,True
598956,470184,2022-03-28,processing,debit_card,click_and_collect,6.99,,,,,True
575892,431114,2024-09-02,delivered,bank_transfer,express,6.99,,,2024-09-06,2024-09-12,True
530135,489201,2024-04-17,pending,paypal,standard,4.99,20,,,,False
577591,458517,2022-06-28,delivered,paypal,next_day,9.99,,,2022-06-29,2022-07-03,False
541548,438532,2023-09-28,delivered,credit_card,express,0,15,,2023-09-29,2023-10-07,False
527710,452101,2021-10-21,delivered,paypal,standard,3.99,,,2021-10-23,2021-10-25,True
502832,481360,2024-05-05,shipped,paypal,standard,4.99,25,,2024-05-09,,False
575411,497003,2022-03-24,returned,debit_card,next_day,0,25,,2022-03-27,,False
553970,404221,2022-09-26,delivered,credit_card,standard,6.99,,,2022-09-30,2022-10-05,False
575383,410670,2021-04-12,delivered,google_pay,express,6.99,10,,2021-04-16,2021-04-25,False
505885,451110,2024-05-06,delivered,paypal,economy,14.99,5,,2024-05-08,2024-05-14,False
554839,412560,2022-05-02,shipped,bank_transfer,click_and_collect,6.99,,SAVE5,2022-05-03,,False
564919,411094,2024-04-16,cancelled,debit_card,click_and_collect,9.99,5,,,,False
552708,453330,2023-07-17,delivered,debit_card,next_day,4.99,10,SAVE16,2023-07-22,2023-07-23,True
534095,478363,2022-09-15,delivered,debit_card,standard,9.99,,,2022-09-16,2022-09-17,False
591117,479036,2021-08-09,delivered,credit_card,next_day,4.99,,,2021-08-14,2021-08-20,False
599112,459497,2021-08-02,delivered,debit_card,express,14.99,,SAVE14,2021-08-05,2021-08-07,True
586412,418045,2021-05-27,delivered,apple_pay,standard,6.99,,,2021-05-30,2021-06-03,False
579536,476177,2023-02-03,delivered,credit_card,next_day,0,,,2023-02-06,2023-02-10,True
582142,403049,2022-09-16,delivered,credit_card,standard,14.99,15,,2022-09-20,2022-09-25,False
590709,425101,2023-02-10,shipped,paypal,express,4.99,,,2023-02-12,,False
500471,430643,2023-07-27,delivered,credit_card,standard,6.99,25,,2023-07-28,2023-08-07,False
574667,435296,2023-12-06,delivered,credit_card,standard,0,,,2023-12-07,2023-12-14,False
522767,406930,2024-08-06,processing,credit_card,express,6.99,25,,,,False
522692,441599,2024-03-16,delivered,debit_card,express,14.99,,,2024-03-21,2024-03-26,False
566277,472623,2021-05-11,delivered,credit_card,click_and_collect,9.99,,,2021-05-15,2021-05-19,False
570330,410161,2021-02-20,delivered,debit_card,economy,3.99,25,,2021-02-25,2021-03-07,False
536466,441599,2024-03-27,shipped,bank_transfer,express,9.99,20,,2024-03-29,,False
580434,472938,2023-10-08,shipped,debit_card,click_and_collect,6.99,,,2023-10-10,,False
566734,481889,2022-01-18,delivered,paypal,standard,6.99,,,2022-01-22,2022-01-28,False
559551,462096,2022-03-20,delivered,debit_card,next_day,14.99,,,2022-03-22,2022-03-24,False
535339,415474,2023-12-02,delivered,debit_card,standard,14.99,,,2023-12-04,2023-12-14,False
541930,426083,2022-12-28,delivered,bank_transfer,economy,3.99,,,2023-01-01,2023-01-07,False
598880,450871,2023-02-22,delivered,credit_card,express,3.99,,SAVE7,2023-02-27,2023-03-02,False
545954,461156,2024-04-23,delivered,credit_card,express,6.99,,,2024-04-24,2024-04-30,False
514665,452928,2024-02-07,processing,bank_transfer,standard,4.99,,SAVE30,,,True
592656,492663,2024-02-28,delivered,debit_card,express,3.99,25,,2024-03-01,2024-03-10,True
531081,457923,2022-09-14,delivered,credit_card,next_day,4.99,,SAVE28,2022-09-18,2022-09-19,False
543076,409757,2023-11-22,delivered,paypal,standard,6.99,,,2023-11-23,2023-12-02,False
