return_id,order_id,item_id,reason,return_status,requested_date,resolved_date,refund_amount,notes
854162,583927,645100,defective_product,approved,2021-09-27,2021-10-14,,
889860,588360,681841,arrived_damaged,received,2022-12-08,2022-12-09,,Wrong size delivered
816455,560477,648368,not_as_described,refunded,2021-04-29,2021-05-02,95.24,Packaging was damaged
814252,548920,662592,duplicate_order,refunded,2022-03-04,2022-03-18,440.59,Customer requested full refund
847759,501631,641812,defective_product,received,2023-12-06,2023-12-09,,
866653,511062,697310,changed_mind,refunded,2021-06-26,2021-07-02,553.85,
841116,539319,660896,not_as_described,refunded,2023-08-05,2023-08-11,254.43,
861464,544262,673501,duplicate_order,refunded,2021-09-02,2021-09-07,257.06,Packaging was damaged
800312,593361,610476,changed_mind,refunded,2023-03-18,2023-04-01,454.03,
823769,511629,648751,not_as_described,requested,2023-11-18,,,
816542,584129,687678,arrived_damaged,requested,2023-12-10,,,Item arrived in poor condition
841295,553865,604668,defective_product,refunded,2022-12-08,2022-12-12,360.49,Item stopped working after 2 days
859408,535203,618557,arrived_damaged,refunded,2021-08-11,2021-08-24,1555.55,Wrong size delivered
847799,539043,652928,arrived_damaged,rejected,2021-05-27,2021-06-10,,Item stopped working after 2 days
871509,518289,688706,changed_mind,received,2024-04-19,2024-04-24,,Item stopped working after 2 days
801925,552126,676995,changed_mind,refunded,2022-11-24,2022-11-28,191.28,Customer requested full refund
867921,517337,668283,defective_product,approved,2024-08-02,2024-08-18,,Item arrived in poor condition
801617,548780,694580,wrong_item_sent,rejected,2023-01-27,2023-02-05,,Item arrived in poor condition
819747,509604,699977,duplicate_order,refunded,2023-05-24,2023-05-27,133.28,
877896,502396,611993,duplicate_order,received,2024-06-08,2024-06-09,,
806196,575442,623167,duplicate_order,refunded,2024-04-29,2024-05-03,364.12,
830849,513958,630106,wrong_item_sent,refunded,2024-07-10,2024-07-16,64.67,Item arrived in poor condition
869569,501971,654180,duplicate_order,approved,2022-11-27,2022-12-07,,Packaging was damaged
837939,559413,679089,wrong_item_sent,refunded,2021-11-16,2021-11-27,732.21,
857393,575892,659081,defective_product,refunded,2024-09-30,2024-10-12,558.26,
899677,547423,632518,arrived_damaged,refunded,2021-03-29,2021-04-01,324.61,Customer requested full refund
894552,529138,620101,not_as_described,requested,2024-08-25,,,Customer preferred different colour
862636,581807,624720,duplicate_order,requested,2023-09-06,,,Item arrived in poor condition
855533,533775,629070,defective_product,approved,2023-12-13,2023-12-28,,Customer requested full refund
833952,520674,619285,not_as_described,approved,2023-11-03,2023-11-13,,Customer preferred different colour
860123,502408,616789,not_as_described,approved,2021-09-18,2021-10-06,,
823873,564095,606856,duplicate_order,received,2021-02-10,2021-02-16,,
861470,552111,697507,duplicate_order,approved,2024-04-11,2024-04-29,,
865429,558113,689747,not_as_described,rejected,2021-06-03,2021-06-14,,Customer requested full refund
895003,579588,656063,duplicate_order,received,2024-09-04,2024-09-08,,Wrong size delivered
852307,539043,627890,wrong_item_sent,approved,2021-06-11,2021-06-21,,
829107,548893,612734,defective_product,received,2022-03-09,2022-03-13,,Customer preferred different colour
860015,586889,635945,duplicate_order,refunded,2023-08-03,2023-08-15,220.99,
850590,518554,602571,arrived_damaged,refunded,2023-02-28,2023-03-07,636.42,
870880,591793,624855,wrong_item_sent,refunded,2023-08-06,2023-08-09,258.26,
872089,583775,662282,defective_product,approved,2021-12-04,2021-12-23,,
879229,506281,632275,changed_mind,approved,2024-03-04,2024-03-23,,Packaging was damaged
847381,527934,663949,arrived_damaged,rejected,2022-02-21,2022-02-26,,Customer requested full refund
